symbol,sector,market_cap
VENUSREM,Healthcare / Pharma,Small Cap
VENUSPIPES,Capital Goods,Small Cap
CARYSIL,Consumer Durables,Small Cap
CARTRADE,Consumer Services,Small Cap
GPIL,Metals & Mining,Small Cap
3BBLACKBIO,Healthcare / Pharma,Small Cap
ABCAPITAL,Financial Services,Large Cap
ARVSMART,Realty,Small Cap
BBOX,Information Technology,Mid Cap
CCL,FMCG,Small Cap
CONCORDBIO,Healthcare / Pharma,Mid Cap
CYIENTDLM,Capital Goods,Small Cap
DYNAMATECH,Capital Goods,Small Cap
EFCIL,Realty,Small Cap
FEDFINA,Financial Services,Small Cap
GANDHAR,Energy / Oil & Gas,Small Cap
GRWRHITECH,Chemicals,Small Cap
HBLENGINE,Capital Goods,Small Cap
HCG,Healthcare / Pharma,Small Cap
HPL,Capital Goods,Small Cap
IEX,Financial Services,Mid Cap
INNOVACAP,Healthcare / Pharma,Small Cap
JKIL,Infrastructure,Small Cap
JMFINANCIL,Financial Services,Mid Cap
JSLL,Metals & Mining,Small Cap
JUBLPHARMA,Healthcare / Pharma,Mid Cap
KSHINTL,Capital Goods,Small Cap
MAITHANALL,Metals & Mining,Small Cap
MANYAVAR,Consumer Services,Mid Cap
METROBRAND,Consumer Services,Mid Cap
NDTV,Media,Small Cap
NDTV-RE,Media,Small Cap
POKARNA,Consumer Durables,Small Cap
RKFORGE,Capital Goods,Mid Cap
SAKAR,Healthcare / Pharma,Small Cap
SAMHI,Consumer Services,Small Cap
SENORES,Healthcare / Pharma,Small Cap
SJS,Automobile,Small Cap
STLTECH,Telecommunication,Small Cap
TDPOWERSYS,Capital Goods,Mid Cap
THANGAMAYL,Consumer Services,Small Cap
TIMETECHNO,Capital Goods,Small Cap
TMCV,Automobile,Large Cap
TMPV,Automobile,Large Cap
VIMTALABS,Healthcare / Pharma,Small Cap
VIYASH,Healthcare / Pharma,Small Cap
SBCL,Capital Goods,Small Cap
SHRIGANG,FMCG,Small Cap
JSL,Metals & Mining,Mid Cap
JAYNECOIND,Metals & Mining,Small Cap
ENTERO,Consumer Services,Mid Cap
E2E,Information Technology,Mid Cap
THOMASCOOK,Consumer Services,Mid Cap
CSBBANK,Financial Services,Mid Cap
PAISALO,Financial Services,Small Cap
NIFTYBEES,Index / ETF,ETF
RBA,Financial Services,Small Cap
EIHOTEL,Consumer Services,Mid Cap
SAREGAMA,Media,Small Cap
MANORAMA,Media,Small Cap
PEINID,Media,Small Cap
